epoch,acc,loss,val_acc,val_loss
0,0.3317426590974887,1.7599735159108105,0.404151574254667,1.70733894455496
1,0.43940924448882934,1.4948204254430557,0.4488715519726393,1.5009453813489615
2,0.4842035598634299,1.3739664936319798,0.4743661187292308,1.4199366615355995
3,0.5075063568926051,1.3196755812216205,0.5296740038842004,1.2676484420393197
4,0.5178515448122506,1.2802573702561162,0.5284201727334621,1.2894971837038183
5,0.5356856734821833,1.2398966458769833,0.5211758150068556,1.2549956685721493
6,0.5399003796760322,1.2211506617322951,0.5409584842740609,1.2158070811324546
7,0.5484691211825491,1.199670049799469,0.5459738088770144,1.1948620019998015
8,0.5590233027991085,1.1773042256021837,0.5555865143660086,1.2028410458803909
9,0.5646661325737435,1.1629725341147616,0.5505711897630551,1.2146063464934795
10,0.5694381552823157,1.1479709059048806,0.5596266369794397,1.2334606582057546
11,0.5737921906022502,1.1337607773731626,0.5325996099191975,1.2620791178554769
12,0.5787035424441744,1.1240117002577406,0.5759264419390385,1.1428211694077284
13,0.5815249573325301,1.1133668173123081,0.5831707996822526,1.1405915422305386
14,0.588386916998823,1.10458214718403,0.5792699916245181,1.1438124907916885
